"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"24.01.2025","280,74","281,00","282,75","279,25","32,16M","0,09%"
"23.01.2025","280,49","280,79","280,79","277,35","38,57M","0,05%"
"22.01.2025","280,36","282,00","284,00","280,20","47,11M","-0,53%"
"21.01.2025","281,85","279,39","281,85","276,32","40,48M","1,32%"
"20.01.2025","278,19","285,10","286,23","277,61","67,95M","-1,88%"
"17.01.2025","283,53","282,20","284,64","280,19","51,88M","0,61%"
"16.01.2025","281,80","283,70","284,00","281,18","49,45M","-0,34%"
"15.01.2025","282,77","280,00","282,82","276,06","52,86M","1,04%"
"14.01.2025","279,85","279,84","282,36","277,41","46,04M","0,02%"
"13.01.2025","279,80","280,62","284,75","278,60","66,60M","0,37%"
"10.01.2025","278,77","272,31","279,53","270,27","71,15M","2,56%"
"09.01.2025","271,80","276,71","278,77","270,73","52,95M","-1,88%"
"08.01.2025","277,00","273,07","277,87","273,07","26,63M","0,96%"
"06.01.2025","274,37","270,88","274,41","270,07","28,45M","0,78%"
"03.01.2025","272,25","280,00","280,41","271,80","43,09M","-2,57%"
"30.12.2024","279,43","274,00","279,49","273,70","52,63M","2,42%"
"28.12.2024","272,83","271,35","273,99","270,40","39,59M","0,60%"
"27.12.2024","271,20","269,61","272,16","268,57","52,14M","0,61%"
"26.12.2024","269,56","272,00","274,25","269,10","75,74M","-0,78%"
"25.12.2024","271,69","263,62","273,00","260,31","125,54M","2,78%"
"24.12.2024","264,34","264,94","266,79","261,02","83,81M","-0,21%"
"23.12.2024","264,90","260,00","270,00","256,51","163,17M","2,83%"
"20.12.2024","257,60","229,10","258,98","228,03","235,19M","12,49%"
"19.12.2024","229,00","230,16","234,99","227,71","124,06M","-0,50%"
"18.12.2024","230,15","226,72","230,80","224,33","58,06M","1,61%"
"17.12.2024","226,50","225,60","227,49","223,72","45,89M","0,43%"
"16.12.2024","225,53","228,62","229,05","224,38","54,59M","-1,39%"
"13.12.2024","228,70","228,90","231,33","227,85","46,12M","-0,14%"
"12.12.2024","229,02","234,00","235,95","228,52","59,17M","-2,21%"
"11.12.2024","234,19","230,50","234,39","229,22","64,91M","1,46%"
"10.12.2024","230,82","238,00","238,01","230,65","58,74M","-2,73%"
"09.12.2024","237,29","239,29","240,51","236,75","52,49M","-0,23%"
"06.12.2024","237,84","233,63","238,25","231,52","81,10M","1,87%"
"05.12.2024","233,48","224,57","233,75","222,82","86,99M","3,98%"